strategy,p_m_override,gamma,w,env_type,R0,A,T,years,H_safe,q,N_ref,N_q,burn_in,rec_target_frac,rec_hold_years,hit_ext,hit_host,mean_H,min_H,cv_H,mean_N,min_N,cv_N,T_rec_N,T_rec_H
S_50,0.5,1.0,0.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.5750816295448268,0.5473620127917305,0.03070924582085049,1.8467539370413144,1.5658190188629535,0.040611459090101,0.0,inf
S_56,0.56,1.0,0.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.5891542614950653,0.5684830446612856,0.022023440947731694,1.7671173695602704,1.5658190188629535,0.03120276256977732,0.0,inf
S_78,0.78,1.0,0.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.8193363558065626,0.6157168676813857,0.07669012937866539,0.6157243245011678,0.3250575810582982,0.3436152131695146,inf,0.0
S_var_g0.5_w0.0,,0.5,0.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.6111424051344513,0.603533884739491,0.007339103757861636,1.6418022196962918,1.5658190188629535,0.0112787272487846,0.0,inf
S_var_g0.5_w3.0,,0.5,3.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.6101812833376773,0.6024112933877293,0.007658926836343596,1.646713817951045,1.5658190188629535,0.011451583174080439,0.0,inf
S_var_g0.5_w5.0,,0.5,5.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.6098422868604614,0.6019050407345047,0.00790150756052965,1.6486271791455644,1.5658190188629535,0.011742291801180875,0.0,inf
S_var_g1.0_w0.0,,1.0,0.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.6340365788671909,0.6155441134078629,0.006281864907587597,1.5159022063022747,1.4941452517184473,0.009920328447910087,inf,0.0
S_var_g1.0_w3.0,,1.0,3.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.6332327988767602,0.615553125303439,0.006496569534029594,1.5192657252582604,1.4953821027649845,0.01078318142662879,inf,0.0
S_var_g1.0_w5.0,,1.0,5.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.63280642845731,0.61555327853741,0.006327700454782307,1.5214322959797781,1.4969476804918849,0.010725550400564993,inf,0.0
S_var_g2.0_w0.0,,2.0,0.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.6734378324561491,0.6155813221502731,0.02500628771366512,1.3095588177517667,1.2222271316428233,0.047337995390651214,inf,0.0
S_var_g2.0_w3.0,,2.0,3.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.6755579221152392,0.6155960899706251,0.027127820315169537,1.2972186688583478,1.2029446826728278,0.05246995525868991,inf,0.0
S_var_g2.0_w5.0,,2.0,5.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.6757654945670817,0.6155963407915968,0.027713466809701,1.2954895493280523,1.1967838140799625,0.054423025769682165,inf,0.0
S_var_g4.0_w0.0,,4.0,0.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.7254002750975248,0.6156354429056524,0.04334277478518692,1.0539665875483308,0.9069374929693867,0.10294619893045792,inf,0.0
S_var_g4.0_w3.0,,4.0,3.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.7344711276556737,0.6156536636830356,0.047589052503495585,1.0092824781323289,0.8539235422131886,0.11805602654599745,inf,0.0
S_var_g4.0_w5.0,,4.0,5.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.7365959507906549,0.615653954402919,0.049544737969315245,0.9977452005871894,0.8325479339611577,0.12626657787543444,inf,0.0
S_var_g8.0_w0.0,,8.0,0.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.7743788966951025,0.6156893906232334,0.05726799372007773,0.825532742071501,0.6343615500195974,0.17675691907746263,inf,0.0
S_var_g8.0_w3.0,,8.0,3.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.78789635212723,0.6157013023935243,0.06238279438472085,0.7628665497591381,0.5622784340364635,0.20918970334731637,inf,0.0
S_var_g8.0_w5.0,,8.0,5.0,seasonal,2.0,0.5,1.0,20,0.3,0.05,1.5658190188629535,0.07829095094314768,5,0.8,1.0,0,0,0.7910586161602682,0.6157014421494658,0.06485304984833135,0.7468841475369354,0.5328445645334329,0.2257177554832157,inf,0.0
