strategy,p_m_override,gamma,w,R_L,R_H,p,years,reps,H_safe,q,N_ref,N_q,burn_in,rec_target_frac,rec_hold_years,P_ext,P_host,mean_H,min_H,q10_min_H,median_min_H,q90_min_H,cv_H,geom_mean_H,mean_N,min_N,q10_min_N,median_min_N,q90_min_N,cv_N,geom_mean_N,P_rec_N,median_T_rec_N,q10_T_rec_N,q90_T_rec_N,P_rec_H,median_T_rec_H,q10_T_rec_H,q90_T_rec_H
S_var_g2.0_w0.0,,2.0,0.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.0,0.6408989914174745,0.32374713365665636,0.3136755236455705,0.3151593682840206,0.3579136023081727,0.25114626476742097,0.6173410199855855,1.3344200838188982,0.7109030613067666,0.656777530128062,0.6920480249866039,0.7861087670467672,0.3548508438308931,1.2512880879921529,0.635,24.25,21.883333333333333,52.76666666666667,0.985,0.0,0.0,0.0
S_var_g2.0_w3.0,,2.0,3.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.0,0.6482518544084936,0.3262839911932309,0.31280667323578004,0.31766642922589083,0.3579136023081727,0.24261072917269214,0.62572009155137,1.3175489846398856,0.7023841488694464,0.6555295736546919,0.6833657472198125,0.7694119891135035,0.35913395393902386,1.233347539633168,0.63,25.541666666666664,23.583333333333332,56.916666666666664,0.97,0.0,0.0,0.0
S_var_g2.0_w5.0,,2.0,5.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.0,0.6509097123424692,0.3272989930992694,0.3115371078566818,0.3197145388776059,0.3579136023081727,0.2377063375194305,0.6290823444259817,1.312306067746203,0.6989819282022371,0.6542673275318587,0.675800899334759,0.7660669751606309,0.35721129720161265,1.228982501283692,0.625,26.666666666666657,24.633333333333333,64.61666666666669,0.965,0.0,0.0,0.0
S_var_g1.0_w5.0,,1.0,5.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.825,0.5851001581483929,0.29508433436881626,0.2815741362237979,0.28506180782441615,0.3296126734444933,0.27008681262135853,0.5607392687327335,1.567939888149673,0.9588452185277141,0.8982456242201086,0.9335736477898803,1.044317401865176,0.26903210062105987,1.510205352108767,0.695,18.25,15.816666666666663,51.73333333333334,0.96,0.4166666666666643,0.0,3.5833333333333286
S_var_g1.0_w3.0,,1.0,3.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.84,0.5844024251670853,0.2937705414496182,0.28203912713825147,0.2830162346690328,0.3230726836431071,0.27373384438915016,0.5594576332080904,1.566248359701417,0.9584596968999574,0.8991847334825541,0.936278359920589,1.0404502764122794,0.27197058494341,1.5075327607946754,0.7,17.458333333333336,15.08333333333334,49.67500000000002,0.96,1.8333333333333357,0.0,3.4166666666666714
S_var_g1.0_w0.0,,1.0,0.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.85,0.5818052678170256,0.2923016796023,0.2825370224328059,0.28254827275943883,0.3147230980188481,0.2794369726790389,0.5560859977199968,1.566645618692044,0.9618018654066163,0.9000482773289056,0.942107261236236,1.0411095554167356,0.2718792670101887,1.5082050355517,0.71,16.41666666666667,14.091666666666674,44.80000000000001,0.965,3.0,0.0,3.25
S_var_g0.5_w5.0,,0.5,5.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.915,0.5459430736868688,0.27754726351924874,0.26807905290789064,0.2694131006740917,0.2939448025528453,0.2881187074446482,0.5207673373971627,1.723636958330025,1.156897834514781,1.0892315056797093,1.1334248240217608,1.2510515610885906,0.2141082432665842,1.683012456596918,0.765,12.75,10.433333333333332,38.116666666666674,0.95,6.041666666666664,0.0,6.916666666666671
S_var_g0.5_w0.0,,0.5,0.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.925,0.5450881632828914,0.2756799866337034,0.26802910647544903,0.2682727267724894,0.28631750783113186,0.29378850298057807,0.5190392794840438,1.7180466420349105,1.1557526929168702,1.0901785102125738,1.1360477048178104,1.243360573069748,0.2173041967441681,1.6765963555712957,0.78,11.791666666666664,9.708333333333332,35.87500000000001,0.965,6.666666666666657,0.14999999999998603,7.0
S_var_g0.5_w3.0,,0.5,3.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.925,0.545851960486974,0.276517631879846,0.2680425024878763,0.2683521568250944,0.2907289648445266,0.2903466303808355,0.5203025207774821,1.7211940198196944,1.1552920051805895,1.0896189328248453,1.133479813510072,1.2454368554711173,0.2163064714849181,1.67989571424783,0.775,12.25,10.2,36.11666666666668,0.95,6.4166666666666785,0.0,6.916666666666671
S_56,0.56,1.0,0.0,1.0,10.0,0.05,200,200,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,0.0,0.965,0.508816591346197,0.25978038051646335,0.25344536046366445,0.25509220734100285,0.2674119226117525,0.30749261368584385,0.4828041411894033,1.8733384205170325,1.385459760537803,1.3204435882989944,1.3679514991779258,1.4704221605080043,0.16213292205321048,1.8479163460901646,0.845,7.083333333333314,5.25,13.13333333333335,0.955,8.583333333333329,1.0833333333333357,8.666666666666671
