strategy,p_m_override,gamma,w,env_type,R0,years,H_star,N_star,max_real,stable,return_time,dominant_period
S_78,0.78,1.0,0.0,constant,2.0,300,0.9999999998019806,6.760859124953308e-10,-0.49136192918489474,1,2.035159707344176,inf
S_var_g4.0_w5.0,,4.0,5.0,constant,2.0,300,0.7957142840146829,0.8016090000204824,-0.11065279098465353,1,9.037277696309443,522.2371036689287
S_var_g8.0_w5.0,,8.0,5.0,constant,2.0,300,0.8755651278189528,0.4781910936927233,-0.10617555708706461,1,9.418363580423636,222.40541795938861
S_50,0.5,1.0,0.0,constant,2.0,300,0.4763355886697647,2.1828999162783336,-0.09739875084662955,1,10.267072126773632,inf
S_var_g2.0_w5.0,,2.0,5.0,constant,2.0,300,0.7014227177880223,1.1998630948366598,-0.08639224891312985,1,11.575112496556626,inf
S_56,0.56,1.0,0.0,constant,2.0,300,0.5060894069587468,2.0557672427750235,-0.08049310191247339,1,12.423424818282943,inf
S_var_g1.0_w5.0,,1.0,5.0,constant,2.0,300,0.6175935343782704,1.5658190183805911,-0.0780638867868636,1,12.810020627467367,inf
S_var_g0.5_w5.0,,0.5,5.0,constant,2.0,300,0.5624589448109901,1.8092105909575138,-0.07627369663702074,1,13.110679619461802,inf
S_var_g8.0_w3.0,,8.0,3.0,constant,2.0,300,0.8755651278405928,0.47819109361610584,-0.07383546508087603,1,13.543627021305348,inf
S_var_g4.0_w3.0,,4.0,3.0,constant,2.0,300,0.795714284105454,0.8016089996910559,-0.07323152211816125,1,13.655321794164951,inf
S_var_g0.5_w3.0,,0.5,3.0,constant,2.0,300,0.5624589451397334,1.8092105897827935,-0.07312117547000212,1,13.675928943596496,inf
S_var_g2.0_w3.0,,2.0,3.0,constant,2.0,300,0.701422718094128,1.1998630937034371,-0.07184174062754725,1,13.919484567952637,inf
S_var_g1.0_w3.0,,1.0,3.0,constant,2.0,300,0.6175935349074847,1.5658190164306975,-0.0713806328451585,1,14.009402272591739,inf
S_var_g0.5_w0.0,,0.5,0.0,constant,2.0,300,0.5624589457163747,1.8092105877043603,-0.07048006897962045,1,14.188408361080825,inf
S_var_g1.0_w0.0,,1.0,0.0,constant,2.0,300,0.6175935365095627,1.5658190104419174,-0.06642506068002751,1,15.054559073977286,inf
S_var_g2.0_w0.0,,2.0,0.0,constant,2.0,300,0.7014227200944727,1.199863086147937,-0.06360053924114684,1,15.723137129520477,inf
S_var_g4.0_w0.0,,4.0,0.0,constant,2.0,300,0.7957142851315259,0.8016089958807798,-0.0617070947817297,1,16.20559197507514,inf
S_var_g8.0_w0.0,,8.0,0.0,constant,2.0,300,0.8755651276578289,0.4781910942757179,-0.06008993239584718,1,16.64172283324303,inf
