strategy,p_m_override,gamma,w,env_type,R0,years,R0_BL,R0_BH,invade_BL,invade_BH,H_star,J_star,N_star
S_50,0.5,1.0,0.0,constant,2.0,300,2.4785029633820566,1.8467187825477986,1,1,0.4763355886697647,0.6545805141633052,2.1828999162783336
S_56,0.56,1.0,0.0,constant,2.0,300,2.4588727583924816,1.847252842929167,1,1,0.5060894069587468,0.6173882413297164,2.0557672427750235
S_var_g0.5_w0.0,,0.5,0.0,constant,2.0,300,2.4154939741889145,1.8432604241962889,1,1,0.5624589457163747,0.5469263180418749,1.8092105877043603
S_var_g0.5_w3.0,,0.5,3.0,constant,2.0,300,2.415493974621818,1.8432604242308743,1,1,0.5624589451397334,0.5469263186759907,1.8092105897827935
S_var_g0.5_w5.0,,0.5,5.0,constant,2.0,300,2.415493974867274,1.8432604242496649,1,1,0.5624589448109901,0.5469263190355342,1.8092105909575138
S_var_g1.0_w0.0,,1.0,0.0,constant,2.0,300,2.36283439370248,1.832491283524121,1,1,0.6175935365095627,0.47800807966766884,1.5658190104419174
S_var_g1.0_w3.0,,1.0,3.0,constant,2.0,300,2.3628343952365816,1.8324912838316634,1,1,0.6175935349074847,0.47800808146153473,1.5658190164306975
S_var_g1.0_w5.0,,1.0,5.0,constant,2.0,300,2.3628343957384774,1.8324912839300953,1,1,0.6175935343782704,0.478008082048415,1.5658190183805911
S_var_g2.0_w0.0,,2.0,0.0,constant,2.0,300,2.2533786045616506,1.7992149672820639,1,1,0.7014227200944727,0.3732216001445203,1.199863086147937
S_var_g2.0_w3.0,,2.0,3.0,constant,2.0,300,2.253378607468515,1.7992149682205862,1,1,0.701422718094128,0.3732216024228783,1.1998630937034371
S_var_g2.0_w5.0,,2.0,5.0,constant,2.0,300,2.2533786079070466,1.7992149683603902,1,1,0.7014227177880223,0.37322160276659316,1.1998630948366598
S_var_g4.0_w0.0,,4.0,0.0,constant,2.0,300,2.0531227585276857,1.7196876038608855,1,1,0.7957142851315259,0.2553571436938549,0.8016089958807798
S_var_g4.0_w3.0,,4.0,3.0,constant,2.0,300,2.053122761208308,1.7196876049986067,1,1,0.795714284105454,0.255357144878624,0.8016089996910559
S_var_g4.0_w5.0,,4.0,5.0,constant,2.0,300,2.0531227614414016,1.7196876050968768,1,1,0.7957142840146829,0.2553571449816457,0.8016090000204824
S_var_g8.0_w0.0,,8.0,0.0,constant,2.0,300,1.7390780868495954,1.5674035995055373,1,1,0.8755651276578289,0.15554359041389312,0.4781910942757179
S_var_g8.0_w3.0,,8.0,3.0,constant,2.0,300,1.7390780859205086,1.5674035990187534,1,1,0.8755651278405928,0.1555435902015421,0.47819109361610584
S_var_g8.0_w5.0,,8.0,5.0,constant,2.0,300,1.7390780860288828,1.5674035990753805,1,1,0.8755651278189528,0.15554359022631198,0.4781910936927233
S_78,0.78,1.0,0.0,constant,2.0,300,6.590486226273552e-09,9.885729314550787e-09,0,0,0.9999999998019806,2.306670184539537e-10,6.760859124953308e-10
