strategy,p_m_override,gamma,w,env_type,R_L,R_H,p,years,reps,H_safe,q,N_ref,N_q,P_ext,P_host,mean_H,min_H,cv_H,mean_N,min_N,cv_N,lambda_BL,P_lambda_BL_pos,lambda_BH,P_lambda_BH_pos
S_56,0.56,1.0,0.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.5352760415215717,0.38782719419193923,0.14171120416367472,1.9339750399572981,1.6612614568787218,0.0838529909636568,0.9952175081062602,1.0,0.583876529496394,1.0
S_var_g0.5_w0.0,,0.5,0.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.5802913506702913,0.42643690838179094,0.11951543205269206,1.7303937823142537,1.4429682714423069,0.10585285033135905,0.9668993522986918,1.0,0.5798890142501707,1.0
S_var_g0.5_w3.0,,0.5,3.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.5798043833043209,0.428833139470074,0.11636590731836247,1.736450167619174,1.4569310191855396,0.10379401742619018,0.9675403475391555,1.0,0.5801704528884534,1.0
S_var_g0.5_w5.0,,0.5,5.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.5792799052521558,0.42991841474537323,0.11512880298131553,1.7394141103127665,1.4679036552618299,0.10132296236051301,0.9680123809770874,1.0,0.5803215231163897,1.0
S_var_g1.0_w0.0,,1.0,0.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.6233883958773202,0.44920600660264476,0.10347935443911846,1.5351670873442584,1.2417883938057328,0.1279573825118076,0.934177683508944,1.0,0.5722930418105009,1.0
S_var_g1.0_w3.0,,1.0,3.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.6246462297792035,0.45365952849844804,0.09790855732499115,1.5358368554463386,1.2561699284968975,0.1262172975562848,0.9337837187948244,1.0,0.5724276423142357,1.0
S_var_g1.0_w5.0,,1.0,5.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.6243019735737503,0.45530291157112995,0.09574295205693165,1.538309531706322,1.2705148100502877,0.12271538319295486,0.9342759244181785,1.0,0.572636687684571,1.0
S_var_g2.0_w0.0,,2.0,0.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.6876804868298926,0.47022129976717597,0.0856319685362402,1.2479618637266428,0.9656817706935907,0.162556315292611,0.8713889505449937,1.0,0.5526476073323632,1.0
S_var_g2.0_w3.0,,2.0,3.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.695513133310605,0.4760984351546811,0.07828617000283687,1.2212766054229605,0.9603709758917043,0.16397806100505202,0.8638768582567881,1.0,0.5503425993367046,1.0
S_var_g2.0_w5.0,,2.0,5.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.6970288401363305,0.47796629270845836,0.07580951476308281,1.2156176011649993,0.966160949116213,0.16162223344606869,0.8624272613242233,1.0,0.5498946427364858,1.0
S_var_g4.0_w0.0,,4.0,0.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.7603981382326283,0.4811002513361694,0.07161060632376864,0.9325377465589693,0.6790985240871285,0.21127339269482798,0.7686462090889385,1.0,0.5123850890672774,1.0
S_var_g4.0_w3.0,,4.0,3.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.7785819693840179,0.4830892727412056,0.0638802505195968,0.8625199162718145,0.6428816361345859,0.21747437406861708,0.7394861402632593,1.0,0.5003662160128836,1.0
S_var_g4.0_w5.0,,4.0,5.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.7837155615642108,0.4831881982279908,0.06215446674367282,0.8415178409784445,0.6363719354222761,0.21897794485578417,0.730183542027997,1.0,0.49633670157097687,1.0
S_var_g8.0_w0.0,,8.0,0.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.8251640476838125,0.48387755910378977,0.06318109831740203,0.6619788841769705,0.44404322761106724,0.2835735657543075,0.6261442234211515,1.0,0.4461677693872278,1.0
S_var_g8.0_w3.0,,8.0,3.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.8501426529600813,0.48465287102882587,0.05546593440876637,0.5650340585128016,0.3904177508218879,0.29967658839151345,0.55852379497761,1.0,0.4126972792046118,1.0
S_var_g8.0_w5.0,,8.0,5.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.0,0.857883463319418,0.4846798860621993,0.05401716861763066,0.5339620378781711,0.37566649047626766,0.308059066411503,0.5334681029225022,1.0,0.39961509350762736,1.0
S_50,0.5,1.0,0.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,0.0,0.15,0.5094673735003759,0.3522425275643938,0.16485916340324333,2.0406749968715614,1.7432765144552693,0.08344400357638276,1.008274047393614,1.0,0.5835036563999967,1.0
S_78,0.78,1.0,0.0,markov,1.0,5.0,0.2,60,20,0.3,0.05,1.9410241638565553,0.09705120819282777,1.0,0.0,0.9372131065158126,0.4851643226462308,0.06557096576277781,0.21495720517429504,0.022669528919705032,0.974087682029362,-0.02115567564891229,0.05,-0.00933567758428357,0.25
