model,strategy,p_m_override,gamma,w,R_L,R_H,p,years,reps,H_safe,q,N_ref,N_q,burn_in,rec_target_frac,rec_hold_years,B_init,B_th,B_out_th,P_ext,P_host,mean_H,min_H,q10_min_H,median_min_H,q90_min_H,cv_H,geom_mean_H,mean_N,min_N,q10_min_N,median_min_N,q90_min_N,cv_N,geom_mean_N,P_rec_N,median_T_rec_N,q10_T_rec_N,q90_T_rec_N,P_rec_H,median_T_rec_H,q10_T_rec_H,q90_T_rec_H,mean_B1,max_B1,P_B1_persist,P_B1_outbreak,mean_B2,max_B2,P_B2_persist,P_B2_outbreak
3,S_78,0.78,1.0,0.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.9760159607103102,0.3558496221674544,0.35432408091294654,0.35432408091294654,0.3579136023081727,0.05265322035756576,0.9745757318665441,0.07409471293299248,0.00016876809637371732,0.00016660822769663767,0.00016849573820061875,0.0001714968892258877,2.242658663810639,0.007961895197066292,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.03325962752448115,0.3099048901589459,0.0,0.5833333333333334,0.001964640308721883,0.016592872223175223,0.0,0.0
3,S_var_g0.5_w0.0,,0.5,0.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.7753619332210663,0.33104261222484443,0.30123869499163597,0.34353415027679585,0.3579136023081727,0.10743135627095476,0.7688254102899036,0.4506206574863222,0.23282776055438592,0.2299678706458522,0.2308222526646626,0.23907863642786373,0.8397692524754753,0.3617777036674176,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.28542133615630344,0.5420920160661002,0.23333333333333334,1.0,0.1900298478876599,0.3395749496743841,0.0,0.9
3,S_var_g0.5_w3.0,,0.5,3.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.7756650044964203,0.33211314679024057,0.30355263362237694,0.3438793791967423,0.3579136023081727,0.10734130223093379,0.7691664308183671,0.4505122623907953,0.23302790730505132,0.22990359215490674,0.23092511601188967,0.24028459893183093,0.8462540745333365,0.3610188276540139,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.28469039356894504,0.5425464160311217,0.23333333333333334,1.0,0.1895306563596965,0.33896797472865814,0.0,0.8833333333333333
3,S_var_g0.5_w5.0,,0.5,5.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.775728871051148,0.3324651409476161,0.30442423371000693,0.34391150817450156,0.3579136023081727,0.10755945473734456,0.7692298890253606,0.45087603568269985,0.23322038262212672,0.22992782684770038,0.23116747536810234,0.24083582123868733,0.8509079646453379,0.3607502485566406,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.28430249696000537,0.543148916281856,0.23333333333333334,1.0,0.18928000958517605,0.33901484091807316,0.0,0.9
3,S_var_g1.0_w0.0,,1.0,0.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.7843993448729549,0.3345502875249745,0.308817345840309,0.34409256550923484,0.3579136023081727,0.10026240142530121,0.778398348391617,0.42464360654689787,0.22596144207032565,0.22280034714543465,0.2237206551441697,0.2339040020650215,0.825914397084562,0.3440845326640274,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.27103513328710727,0.5327813185841247,0.1,1.0,0.1804619604616892,0.3242206013119923,0.0,0.6833333333333333
3,S_var_g1.0_w3.0,,1.0,3.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.7852309510202468,0.3368432090909852,0.31377463867227506,0.34480934023574183,0.3579136023081727,0.09968401652042765,0.7793369342576953,0.4235579299824786,0.22633726891048586,0.2224567972052014,0.22399764695536556,0.23521993005345962,0.8364546916943623,0.34231331544348564,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.2693395521877411,0.5332734872201708,0.1,1.0,0.179302229976861,0.3220451155153201,0.0,0.6166666666666667
3,S_var_g1.0_w5.0,,1.0,5.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.7854435513596739,0.33766200070712665,0.3156323184697007,0.34487789693475823,0.3579136023081727,0.09994263219072948,0.7795671255220159,0.42388951286582266,0.22662207433601533,0.22216155040003574,0.22440923891568038,0.23637793266147772,0.8453933877764841,0.3416753648650955,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.2684766834212189,0.5344704904172126,0.1,1.0,0.1787430174983512,0.32169436687890585,0.0,0.6166666666666667
3,S_var_g2.0_w0.0,,2.0,0.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.799289371308081,0.34140857783685113,0.3241455249063116,0.34525276717951847,0.3579136023081727,0.08995182021794149,0.7940664147618752,0.38641996857197003,0.2125209224283521,0.20905521111232328,0.21038528379596408,0.22167421396862338,0.8035149149325772,0.31703845243222695,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.2458984299808041,0.5145163251251116,0.016666666666666666,1.0,0.16385064677351985,0.2946495691928989,0.0,0.5166666666666667
3,S_var_g2.0_w3.0,,2.0,3.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.8015185130778781,0.34626231466831686,0.3346171768376862,0.3467410617831701,0.3579136023081727,0.08782986470092675,0.7965664132569276,0.38228075169995607,0.21266540580259796,0.20813866231828648,0.21056738839220143,0.22297664654488344,0.8136614720752913,0.31321114525622684,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.24201999815775407,0.51339004357234,0.016666666666666666,1.0,0.1612095951538072,0.2874078228762381,0.0,0.5
3,S_var_g2.0_w5.0,,2.0,5.0,1.0,10.0,0.05,120,60,0.3,0.2,2.1673187873058066,0.43346375746116134,10,0.8,1.0,1e-06,0.3,0.3,1.0,0.0,0.8022929435478701,0.34777490428573554,0.33798411764285424,0.3468769666778582,0.3579136023081727,0.08764587228040276,0.7974266543263248,0.3815131148117327,0.21290393184445253,0.20640781271937028,0.21127573110403353,0.22305389257612124,0.8263995983969379,0.3116573367469194,0.0,inf,inf,inf,1.0,0.0,0.0,0.0,0.2400470008303419,0.5151331224499823,0.016666666666666666,1.0,0.15991587883226044,0.28458513568227656,0.0,0.48333333333333334
