category,kind,query_id,query_name,dashboard_token,output,records,retrieved_at,status,size_bytes,sha256
cycling,cell_list,29,Cycle Test Cell List,dG5C30gXNzH77rMeApZ4lIOrjy0m7pencFScWFA5,extracted/cycling/cell_list.csv,,,skip,11582,8cead64faa66efac9ba4eafc46c94ae997fb166c2aeed520390267a48e3771cd
disruptive,cell_list,23,Disruptive Test Cell List,dmTEMEmQeR2qNe8O6ubte3IubX4StYsZrpJvUmr8,extracted/disruptive/cell_list.csv,,,skip,8920,d385f60d7b95247e942be8e93eab7240e5de715105ca9dcafec8d002478035a6
cycling,archive,30,Charge voltage by step,61PzyYn9u56njtPDOh37VVBFasGusUlxc7WZ1FSj,extracted/cycling/charge_voltage_by_step.tar.gz,137,,skip,1396523,21dfc13c893a30db1a3565e4f42f6132ebb98228beda2dbb3585df1573e4b15f
cycling,archive,31,Discharge voltage by step,61PzyYn9u56njtPDOh37VVBFasGusUlxc7WZ1FSj,extracted/cycling/discharge_voltage_by_step.tar.gz,137,,skip,1351022,727dbf1984d4d8aa2be29c98ee4d897835ea0cae45b44a5a6ffe0ed7d297cb05
cycling,archive,28,Efficiencies,61PzyYn9u56njtPDOh37VVBFasGusUlxc7WZ1FSj,extracted/cycling/efficiencies.tar.gz,137,,skip,7511159,7f0acc0a6dbda06c21e63a94581b8d8c4e9f122556c7db6566535a013d19bce2
cycling,archive,26,Energy and Capacity Decay,61PzyYn9u56njtPDOh37VVBFasGusUlxc7WZ1FSj,extracted/cycling/energy_and_capacity_decay.tar.gz,137,,skip,18187793,20425aa7e7c76493fe0ee152798210850dd4c3813e136fcde7610b68d6dcef14
cycling,archive,40,Max and Min Voltage by Cycle,61PzyYn9u56njtPDOh37VVBFasGusUlxc7WZ1FSj,extracted/cycling/max_and_min_voltage_by_cycle.tar.gz,137,,skip,13781458,d1ed02dca6f6e363adbc9514cc8162994b5df774c018b88eb5db75e0e7e9e0b3
disruptive,archive,37,Disruptive Test: Displacement,ipzyQoxii9sEERUcnoxb2p5G5oEpYmULTdRUybOb,extracted/disruptive/disruptive_test_displacement.tar.gz,72,,skip,1550983,87649f279e2c7a1fd63c94c9564ff4853a4d6794e140647b011cde0e8a19b1b2
disruptive,archive,20,Disruptive Test: Force,ipzyQoxii9sEERUcnoxb2p5G5oEpYmULTdRUybOb,extracted/disruptive/disruptive_test_force.tar.gz,72,,skip,3299052,dea8cdafb1855506cecba06264691e48edb9191844189bd7db11c6c27864f575
disruptive,archive,25,Disruptive Test: Temperatures,ipzyQoxii9sEERUcnoxb2p5G5oEpYmULTdRUybOb,extracted/disruptive/disruptive_test_temperatures.tar.gz,72,,skip,8790422,4379d9e598738592245360b0b2776f11e5fdfe50b343673689e7a1e90eedec16
disruptive,archive,19,Disruptive Test: Voltage,ipzyQoxii9sEERUcnoxb2p5G5oEpYmULTdRUybOb,extracted/disruptive/disruptive_test_voltage.tar.gz,72,,skip,1591511,898a17c72cabdd7ca66b782661d754b7335095163be2bf648b64fd6bb6de1164
