kind,dataset,filename,raw_path,extracted_dir,size_bytes,sha256,status_download,status_extract,url
model,EKF-Battery-Impedance-Temperature,master.zip,models/EKF-Battery-Impedance-Temperature/master.zip,models/EKF-Battery-Impedance-Temperature/master,16548705,b311c0eeaed1c987d5a86e6fddf0c5033e5d6abe3af14c8f9e0dcd6bea43dd71,downloaded,extracted,https://github.com/robert-richardson/EKF-Battery-Impedance-Temperature/archive/refs/heads/master.zip
model,PyBOP,develop.zip,models/PyBOP/develop.zip,models/PyBOP/develop,9286168,5d9ff7f1632d33b0e7daf8691772a62a1e8fd6e7854ee8743ff14f212c010635,downloaded,extracted,https://github.com/pybop-team/PyBOP/archive/refs/heads/develop.zip
model,SLIDE,master.zip,models/SLIDE/master.zip,models/SLIDE/master,4896670,f6e49ca06ffd8c163c78f993c2e51942553dd23b604025bd0f202a792f2e225d,skip,skip,https://github.com/davidhowey/SLIDE/archive/refs/heads/master.zip
model,Spectral_li-ion_SPM,master.zip,models/Spectral_li-ion_SPM/master.zip,models/Spectral_li-ion_SPM/master,909421,0511a1fec4484486e37e12e6708874b07b34a862d8e46034428709100e70f3ea,skip,skip,https://github.com/davidhowey/Spectral_li-ion_SPM/archive/refs/heads/master.zip
model,Supercapacitor-Model,master.zip,models/Supercapacitor-Model/master.zip,models/Supercapacitor-Model/master,18378,89872f75a92b48f36d93ea96a0e2335c87e23a15fdaa4c2597bb9ca55b5a650b,skip,skip,https://github.com/scro2542/Supercapacitor-Model/archive/refs/heads/master.zip
data,energy_trading_battery_degradation_dataset,BMP_cell1_capacityData.csv,data/energy_trading_battery_degradation_dataset/BMP_cell1_capacityData.csv,,452,222c94f144d0482779083e801f86f6c87842c3539acc72688b521cff4cdf3ccf,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/d7h149q034
data,energy_trading_battery_degradation_dataset,BMP_cell1_profileData.csv,data/energy_trading_battery_degradation_dataset/BMP_cell1_profileData.csv,,2600514,aa27710ad7e3c4f9483e20d977d0710acaeeb31a832bc0fb2ee0b1fb5b1684c6,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dcc08hf70v
data,energy_trading_battery_degradation_dataset,BMP_cell2_capacityData.csv,data/energy_trading_battery_degradation_dataset/BMP_cell2_capacityData.csv,,458,78ad48a6b127c8d804cf915b708d312f3ada43dc0c4a429c8e6e6ab6d4ad1c46,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dth83kz455
data,energy_trading_battery_degradation_dataset,BMP_cell2_profileData.csv,data/energy_trading_battery_degradation_dataset/BMP_cell2_profileData.csv,,2709899,0bbd3278d21c9e0e3429dd25ca4c2e8589c4f6ab103ff3834bfaa72cfa02ff42,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dvx021f16r
data,energy_trading_battery_degradation_dataset,BMR_cell1_capacityData.csv,data/energy_trading_battery_degradation_dataset/BMR_cell1_capacityData.csv,,456,7f0914d15dbbe62246dd688a94dd2e828476d72d475d7e836f8ff7bbeb9cdd1f,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dkw52j8142
data,energy_trading_battery_degradation_dataset,BMR_cell1_profileData.csv,data/energy_trading_battery_degradation_dataset/BMR_cell1_profileData.csv,,8216918,8cf2d73718c81eeb12723edb585e871d6af7b5e6fd71597c48f48be60a5f6531,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/d7d278t10b
data,energy_trading_battery_degradation_dataset,BMR_cell2_capacityData.csv,data/energy_trading_battery_degradation_dataset/BMR_cell2_capacityData.csv,,453,9d6f11271a2095a2fe0b3da0b89f7b3e3213cdb02dcb60fb8c58c371ac3036a5,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dxp68kg34h
data,energy_trading_battery_degradation_dataset,BMR_cell2_profileData.csv,data/energy_trading_battery_degradation_dataset/BMR_cell2_profileData.csv,,9305019,0ca8775c8ab98ae696cde0d8f09dd7e095e4eebfa4f16cb81f4c4fc26e00a7e4,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/d4b29b6049
data,energy_trading_battery_degradation_dataset,optimal_current_profiles.csv,data/energy_trading_battery_degradation_dataset/optimal_current_profiles.csv,,1290120,24cf77527b4693fd7e68a5457e039a1694387fd02d90d787548c89def1c40dab,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dpv63g031r
data,energy_trading_battery_degradation_dataset,plotData.m,data/energy_trading_battery_degradation_dataset/plotData.m,,5369,3aeabed5ecf43aff824ccb2ebe83fe920f44914334f5371a4c956fe15f5c3448,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dgq67jr259
data,energy_trading_battery_degradation_dataset,Readme.txt,data/energy_trading_battery_degradation_dataset/Readme.txt,,9723,6d6effc0a913bfbcf5956d3749c370d439ca4ee7e2811b2c4d8156d5edca44bb,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dkk91fk634
data,energy_trading_battery_degradation_dataset,SPM_cell1_capacityData.csv,data/energy_trading_battery_degradation_dataset/SPM_cell1_capacityData.csv,,451,5b14aac2405f5fc7a3fb26e30955c756701ea5abe63f7166363fd2930441c999,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/d2801pg45q
data,energy_trading_battery_degradation_dataset,SPM_cell1_profileData.csv,data/energy_trading_battery_degradation_dataset/SPM_cell1_profileData.csv,,3008626,bb7f5b148e3f409d44287e530876cc8999349427e19e96e43036df089f47e5f5,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/d9880vr050
data,energy_trading_battery_degradation_dataset,SPM_cell2_capacityData.csv,data/energy_trading_battery_degradation_dataset/SPM_cell2_capacityData.csv,,454,6b897f0e802d5106eea68347f88e35c25d5a1f5aeaf80545445de281cf9003ef,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dg732d903f
data,energy_trading_battery_degradation_dataset,SPM_cell2_profileData.csv,data/energy_trading_battery_degradation_dataset/SPM_cell2_profileData.csv,,2967350,2a694d90ee810efca6b25a51513e591bb22465e3fff5dfd0643c949fdf9e3edc,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dhx11xf35n
data,oxford_battery_degradation_dataset_1,ExampleDC_C1.mat,data/oxford_battery_degradation_dataset_1/ExampleDC_C1.mat,,72593,144cdf5aec7467bcce5445e132495e8477f4e08d9963c221d8ba5d7970a7a97d,skip,n/a,https://ora.ox.ac.uk/objects/uuid:03ba4b01-cfed-46d3-9b1a-7d4a7bdf6fac/files/me9fc40a60ac98708f1b73f3a836548e9
data,oxford_battery_degradation_dataset_1,Oxford_Battery_Degradation_Dataset_1.mat,data/oxford_battery_degradation_dataset_1/Oxford_Battery_Degradation_Dataset_1.mat,,266164290,a8f0b928f4ea77d7ba98b97194b78cc77336f2338fee8b57573d043f0cf26781,skip,n/a,https://ora.ox.ac.uk/objects/uuid:03ba4b01-cfed-46d3-9b1a-7d4a7bdf6fac/files/m5ac36a1e2073852e4f1f7dee647909a7
