sample_idx,scenario_id,scenario_title_zh,soc0,tte_h,status,soc_end,temp_peak_C
0,S0_standby,待机/轻后台,1.0,57.351135340386406,cutoff,0.0390596381372392,25.0
1,S0_standby,待机/轻后台,1.0,46.81388888888889,cutoff,0.0672275422157249,25.0
2,S0_standby,待机/轻后台,1.0,62.25,cutoff,0.0425758624488483,25.0
3,S0_standby,待机/轻后台,1.0,60.65,cutoff,0.0433679303684704,25.0
4,S0_standby,待机/轻后台,1.0,77.89166666666667,cutoff,0.0555795632106268,25.0
5,S0_standby,待机/轻后台,1.0,55.96930260596464,cutoff,0.0608860673513689,25.0
6,S0_standby,待机/轻后台,1.0,64.06861059376578,cutoff,0.0451139673046715,25.0
7,S0_standby,待机/轻后台,1.0,51.05833333333333,soc_min,0.0999823776915652,25.0
8,S0_standby,待机/轻后台,1.0,58.75,soc_min,0.0499599606867253,25.0
9,S0_standby,待机/轻后台,1.0,53.00555555555555,soc_min,0.0999958582775112,25.0
10,S0_standby,待机/轻后台,1.0,57.28888888888889,soc_min,0.0999845150776772,25.0
11,S0_standby,待机/轻后台,1.0,58.675,cutoff,0.0505201606413544,25.0
12,S0_standby,待机/轻后台,1.0,71.94722222222222,cutoff,0.0431916014717591,25.0
13,S0_standby,待机/轻后台,1.0,63.41661076105575,cutoff,0.0390258205451346,25.0
14,S0_standby,待机/轻后台,1.0,74.19246581695595,cutoff,0.0663258468015067,25.0
15,S0_standby,待机/轻后台,1.0,50.733333333333334,soc_min,0.0999606873251988,25.0
16,S0_standby,待机/轻后台,1.0,74.95833333333333,cutoff,0.0519227149205328,25.0
17,S0_standby,待机/轻后台,1.0,60.56666666666667,soc_min,0.0999603025218877,25.0
18,S0_standby,待机/轻后台,1.0,77.10116240204692,cutoff,0.0568599275903357,25.0
19,S0_standby,待机/轻后台,1.0,57.24444444444445,cutoff,0.065224801553302,25.0
20,S0_standby,待机/轻后台,1.0,60.33055555555555,soc_min,0.0999761947974128,25.0
21,S0_standby,待机/轻后台,1.0,56.4801267759539,cutoff,0.0664900981869345,25.0
22,S0_standby,待机/轻后台,1.0,72.71831496033944,cutoff,0.0650741777201026,25.0
23,S0_standby,待机/轻后台,1.0,63.175,cutoff,0.0581794845234575,25.0
24,S0_standby,待机/轻后台,1.0,57.41322313959619,cutoff,0.0473224370447367,25.0
25,S0_standby,待机/轻后台,1.0,58.8650627323803,cutoff,0.0594717070446502,25.0
26,S0_standby,待机/轻后台,1.0,72.13055555555556,cutoff,0.0562238622342052,25.0
27,S0_standby,待机/轻后台,1.0,62.5238834103988,cutoff,0.0391661099172303,25.0
28,S0_standby,待机/轻后台,1.0,64.85669667010866,cutoff,0.0527581617150575,25.0
29,S0_standby,待机/轻后台,1.0,65.6361111111111,cutoff,0.0531314632618086,25.0
30,S0_standby,待机/轻后台,1.0,81.53888888888889,cutoff,0.0351297987445846,25.0
31,S0_standby,待机/轻后台,1.0,53.2797646123992,cutoff,0.0373278350024512,25.0
32,S0_standby,待机/轻后台,1.0,54.41388888888889,cutoff,0.053854051786804,25.0
33,S0_standby,待机/轻后台,1.0,69.93107038851402,cutoff,0.0523328339847675,25.0
