phone,test,group_id,label,link,proto,role,obs_mean_power_W,obs_throughput_MBps,E_batt_Wh_assumed,tte_obs_equiv_h,cpu_load_used,tte_model_mean_h,tte_model_p05_h,tte_model_p95_h,avg_power_model_W,n,p_cutoff,p_soc_min,p_insufficient_power
Mini,smartphoneBaseline,none/none/baseline,Mini:smartphoneBaseline,none,none,baseline,1.3207612040133785,,14.8,11.205659247884816,0.05,16.129117606005146,16.110400930029652,16.14997268991503,0.889422032867075,10,1.0,0.0,0.0
Note 4,smartphoneBaseline,none/none/baseline,Note 4:smartphoneBaseline,none,none,baseline,1.3903802675585288,,14.8,10.64456993912062,0.05,16.129117606005146,16.110400930029652,16.14997268991503,0.889422032867075,10,1.0,0.0,0.0
Mega,smartphoneBaseline,none/none/baseline,Mega:smartphoneBaseline,none,none,baseline,1.4051515050167231,,14.8,10.532672062165895,0.05,16.129117606005146,16.110400930029652,16.14997268991503,0.889422032867075,10,1.0,0.0,0.0
Note 3,smartphoneBaseline,none/none/baseline,Note 3:smartphoneBaseline,none,none,baseline,1.887714046822743,,14.8,7.840170509357727,0.05,16.129117606005146,16.110400930029652,16.14997268991503,0.889422032867075,10,1.0,0.0,0.0
Mega,smartphoneClientUdpRouter,router/udp/client,Mega:smartphoneClientUdpRouter,router,udp,client,3.1475826377295477,0.1312360335195533,14.8,4.702021107434915,0.1839370810055866,9.08593983167328,9.084728397815132,9.086580913845546,1.5675692569953568,10,1.0,0.0,0.0
Mega,smartphoneServerUdpDirect,direct/udp/server,Mega:smartphoneServerUdpDirect,direct,udp,server,3.1543724540901503,3.7875,14.8,4.6918999627990745,0.293625,3.7158710781868303,3.715567732686756,3.716059337256812,3.752791413972904,10,1.0,0.0,0.0
Mega,smartphoneServerTcpDirect,direct/tcp/server,Mega:smartphoneServerTcpDirect,direct,tcp,server,3.1593926544240407,5.5,14.8,4.684444644535027,0.345,2.884576282946139,2.8843988547592048,2.884734079735667,4.791809838646704,10,1.0,0.0,0.0
Mega,smartphoneServerUdpRouter,router/udp/server,Mega:smartphoneServerUdpRouter,router,udp,server,3.177496500000001,0.132414772727273,14.8,4.657754933797722,0.1839724431818181,9.081691306889416,9.080549690636564,9.082478055724192,1.568265656500715,10,1.0,0.0,0.0
Mini,smartphoneServerUdpDirect,direct/udp/server,Mini:smartphoneServerUdpDirect,direct,udp,server,3.2113856427378957,5.2456698895027625,14.8,4.608602530645347,0.3373700966850829,2.984680240820305,2.984476823279166,2.9848537188900917,4.636956928881561,10,1.0,0.0,0.0
Mega,smartphoneServerTcpRouter,router/tcp/server,Mega:smartphoneServerTcpRouter,router,tcp,server,3.3295699499165266,3.35,14.8,4.445018492664809,0.2804999999999999,4.006505833657232,4.006111399176074,4.006764555075424,3.488818631293507,10,1.0,0.0,0.0
