user_id,class,screen_on_h_day,data_mb_day,drain_mAh_day,tte_est_daily_h,tte_est_active_h
1,4,6.4,1122.0,1872.0,51.282051282051285,13.675213675213675
2,3,4.7,944.0,1331.0,72.12622088655147,14.124718256949661
3,2,4.0,322.0,761.0,126.14980289093299,21.02496714848883
4,3,4.8,871.0,1676.0,57.27923627684964,11.455847255369928
5,3,4.3,988.0,1367.0,70.22677395757133,12.58229700073153
6,2,2.0,564.0,940.0,102.12765957446808,8.51063829787234
7,4,7.3,1054.0,1802.0,53.27413984461709,16.20421753607103
8,5,11.4,1702.0,2956.0,32.47631935047361,15.426251691474967
9,4,7.7,1053.0,2138.0,44.90177736202058,14.40598690364827
10,4,6.6,1301.0,1957.0,49.054675523760864,13.490035769034236
11,1,1.4,162.0,435.0,220.68965517241378,12.873563218390805
12,3,5.5,641.0,1690.0,56.80473372781066,13.017751479289942
13,4,6.2,1099.0,2303.0,41.68475900998697,10.768562744246635
14,3,4.9,857.0,1662.0,57.76173285198556,11.793020457280385
15,3,5.4,779.0,1754.0,54.732041049030784,12.314709236031927
16,5,10.4,2025.0,2571.0,37.33955659276546,16.1804745235317
17,2,3.6,344.0,628.0,152.86624203821657,22.929936305732483
18,3,5.8,985.0,1431.0,67.08595387840671,16.21243885394829
19,1,1.4,297.0,558.0,172.0430107526882,10.03584229390681
20,5,8.5,2192.0,2774.0,34.60706560922855,12.256669069935112
21,2,2.6,302.0,681.0,140.96916299559473,15.27165932452276
22,5,11.6,1553.0,2803.0,34.24901890831252,16.553692472351052
23,4,6.5,1372.0,2094.0,45.845272206303726,12.41642788920726
24,3,5.6,949.0,1401.0,68.52248394004283,15.988579586009992
25,3,4.0,748.0,1711.0,56.10753945061368,9.35125657510228
26,2,3.4,451.0,1073.0,89.46877912395155,12.674743709226467
27,4,7.6,1002.0,2372.0,40.472175379426645,12.816188870151771
28,5,10.5,1599.0,2409.0,39.85056039850561,17.4346201743462
29,4,6.8,1456.0,2387.0,40.217846669459576,11.395056556346878
30,4,6.2,1384.0,1899.0,50.552922590837284,13.059505002632966
31,3,6.0,889.0,1361.0,70.53637031594417,17.63409257898604
32,3,4.6,975.0,1660.0,57.83132530120483,11.08433734939759
33,3,4.7,917.0,1484.0,64.6900269541779,12.668463611859838
34,1,2.0,105.0,457.0,210.06564551422318,17.505470459518598
35,5,10.2,1616.0,2499.0,38.41536614645858,16.3265306122449
36,1,1.2,153.0,580.0,165.51724137931035,8.275862068965518
37,2,3.3,573.0,755.0,127.15231788079471,17.483443708609272
38,5,11.2,2328.0,2808.0,34.18803418803419,15.954415954415955
39,4,6.4,1400.0,2312.0,41.52249134948097,11.07266435986159
40,4,6.2,1180.0,1851.0,51.86385737439222,13.398163155051323
41,3,4.7,708.0,1464.0,65.57377049180327,12.841530054644808
42,5,10.1,2323.0,2447.0,39.231712300776465,16.510012259910095
43,2,2.1,392.0,720.0,133.33333333333331,11.666666666666666
44,2,3.7,429.0,993.0,96.67673716012084,14.904330312185298
45,2,2.4,572.0,837.0,114.69534050179212,11.469534050179211
46,5,10.9,1935.0,2476.0,38.77221324717286,17.609046849757675
47,5,8.4,1594.0,2447.0,39.231712300776465,13.731099305271762
48,2,3.6,323.0,889.0,107.98650168728909,16.197975253093365
49,5,8.2,2262.0,2623.0,36.59931376286695,12.504765535646207
50,5,8.7,1997.0,2736.0,35.08771929824562,12.719298245614034
51,4,7.4,1417.0,2180.0,44.03669724770643,13.577981651376147
52,3,5.9,885.0,1243.0,77.23250201126308,18.986323411102173
53,2,2.7,393.0,690.0,139.1304347826087,15.652173913043478
54,2,2.2,375.0,1101.0,87.19346049046321,7.992733878292461
55,5,8.7,2189.0,2857.0,33.6016800840042,12.180609030451523
56,1,1.6,111.0,450.0,213.33333333333334,14.222222222222221
57,1,1.1,161.0,572.0,167.83216783216784,7.6923076923076925
58,5,8.4,2415.0,2796.0,34.33476394849785,12.017167381974248
59,4,7.0,1144.0,2306.0,41.63052905464007,12.142237640936687
60,4,7.1,1053.0,2269.0,42.309387395328336,12.516527104451301
61,5,11.9,1663.0,2798.0,34.310221586847746,17.01215153681201
62,4,7.5,1253.0,2292.0,41.8848167539267,13.089005235602095
63,1,1.9,128.0,493.0,194.7261663286004,15.415821501014198
64,5,11.5,1717.0,2911.0,32.97835795259361,15.802129852284438
65,4,7.0,1091.0,1982.0,48.435923309788095,14.127144298688194
66,3,4.0,917.0,1420.0,67.6056338028169,11.267605633802816
67,3,4.5,912.0,1705.0,56.30498533724341,10.557184750733137
68,2,4.0,449.0,773.0,124.1914618369987,20.698576972833116
69,5,10.2,1547.0,2932.0,32.74215552523874,13.915416098226467
70,1,1.7,284.0,558.0,172.0430107526882,12.186379928315413
71,4,7.2,1090.0,1808.0,53.09734513274336,15.929203539823009
72,5,9.0,1701.0,2902.0,33.08063404548587,12.405237767057201
73,4,6.3,1082.0,2347.0,40.90328078397955,10.737111205794632
74,1,1.1,208.0,585.0,164.1025641025641,7.521367521367521
75,1,2.0,125.0,476.0,201.68067226890759,16.80672268907563
76,3,5.7,985.0,1305.0,73.5632183908046,17.471264367816094
77,1,2.0,122.0,558.0,172.0430107526882,14.336917562724015
78,2,2.5,301.0,678.0,141.5929203539823,14.749262536873156
79,1,1.8,138.0,333.0,288.2882882882883,21.62162162162162
80,3,5.7,989.0,1254.0,76.55502392344498,18.181818181818183
81,5,10.6,1603.0,2475.0,38.78787878787879,17.13131313131313
82,2,2.8,549.0,1035.0,92.7536231884058,10.821256038647343
83,4,7.2,1133.0,2363.0,40.62632247143462,12.187896741430386
84,1,1.8,105.0,368.0,260.8695652173913,19.565217391304348
85,3,4.5,695.0,1311.0,73.22654462242562,13.729977116704806
86,4,7.4,1352.0,2081.0,46.13166746756367,14.2239308024988
87,2,2.4,392.0,1003.0,95.71286141575274,9.571286141575275
88,1,1.5,276.0,345.0,278.2608695652174,17.391304347826086
89,2,3.3,348.0,839.0,114.42193087008343,15.733015494636472
90,4,6.2,1303.0,2053.0,46.760837798343886,12.079883097905505
91,2,2.1,307.0,912.0,105.26315789473685,9.210526315789474
92,3,4.1,827.0,1474.0,65.12890094979647,11.12618724559023
93,1,1.4,284.0,501.0,191.61676646706587,11.177644710578843
94,2,2.5,367.0,1125.0,85.33333333333333,8.88888888888889
95,4,7.5,1083.0,2169.0,44.26002766251729,13.831258644536653
96,4,7.2,1454.0,2243.0,42.79982166740972,12.839946500222915
97,5,9.5,1946.0,2916.0,32.92181069958848,13.031550068587105
98,5,12.0,1968.0,2406.0,39.900249376558605,19.950124688279303
99,1,1.2,293.0,361.0,265.9279778393352,13.296398891966758
100,3,5.5,875.0,1526.0,62.90956749672347,14.416775884665793
101,1,1.1,136.0,389.0,246.78663239074552,11.311053984575835
102,3,4.1,738.0,1210.0,79.33884297520662,13.553719008264462
103,2,2.5,565.0,929.0,103.33692142088267,10.76426264800861
104,3,4.2,934.0,1781.0,53.90230207748456,9.432902863559798
105,2,2.8,360.0,1113.0,86.2533692722372,10.062893081761006
106,1,1.2,264.0,585.0,164.1025641025641,8.205128205128204
107,2,2.7,596.0,642.0,149.53271028037383,16.822429906542055
