load_label,battery_state_label,SOH_mean,tte_mean_h,tte_min_h,tte_max_h,n
中负载,new,1.0,5.8019559266632035,5.367470823899731,6.233333333333333,6
中负载,slight,0.9499190183117884,5.453768758136584,4.97393870563764,5.930555555555555,6
中负载,moderate,0.9000284662491006,5.153389330860917,4.6779709806783245,5.625,6
中负载,aged,0.8504442392959901,4.875489869488631,4.394605595389647,5.3277777777777775,6
中负载,old,0.8000163594035469,4.562735088473687,4.077983411852117,5.038888888888889,6
中负载,eol,0.7020066278088005,3.9727839841641504,3.855095535283731,4.075,6
轻负载,new,1.0,7.648716717274911,7.087779650549324,8.205555555555556,6
轻负载,slight,0.9499190183117884,7.196165006079738,6.5800039734864395,7.808333333333334,6
轻负载,moderate,0.9000284662491006,6.803783686995683,6.195891683254407,7.408333333333333,6
轻负载,aged,0.8504442392959901,6.437654634353202,5.824881471820018,7.016666666666667,6
轻负载,old,0.8000163594035469,6.031852147783106,5.4185083405895424,6.638888888888889,6
轻负载,eol,0.7020066278088005,5.258442598585451,5.126337159063429,5.3694444444444445,6
重负载,new,1.0,3.7601034033676037,3.467635652605296,4.05,6
重负载,slight,0.9499190183117884,3.5272079644173187,3.1998694939452363,3.852777777777778,6
重负载,moderate,0.9000284662491006,3.3306372466749785,3.0050354738302874,3.6527777777777777,6
重负载,aged,0.8504442392959901,3.1493238425839905,2.815962331404928,3.4583333333333335,6
重负载,old,0.8000163594035469,2.9387059769402524,2.597147493178974,3.272222222222222,6
重负载,eol,0.7020066278088005,2.549714178606486,2.4461434436370313,2.6416666666666666,6
