t_s,t_h,soc,soc_pct,v_term_V,temp_C,p_total_W,scenario_id,scenario_title_zh,soc0,dt_s,seed,status
0.0,0.0,1.0,100.0,4.2,25.0,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
5.0,0.001388888888888889,0.9999820880319138,99.99820880319137,4.195715089552653,24.988164097869333,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
10.0,0.002777777777777778,0.9999641749982566,99.99641749982567,4.195571421364006,24.976422532988625,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
15.0,0.004166666666666667,0.9999462609595012,99.99462609595012,4.195440326190185,24.964774572000945,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
20.0,0.005555555555555556,0.9999283459693767,99.99283459693767,4.1953203242935375,24.953219480479873,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
25.0,0.006944444444444444,0.9999104300756592,99.99104300756592,4.195210110403935,24.941756524805786,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
30.0,0.008333333333333333,0.9998925133208691,99.98925133208691,4.195108533117579,24.930384973573407,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
35.0,0.009722222222222222,0.9998745957428877,99.98745957428878,4.195014576732177,24.919104098639746,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
40.0,0.011111111111111112,0.9998566773754997,99.98566773754996,4.194927345229858,24.907913175896702,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
45.0,0.0125,0.9998387582488723,99.98387582488722,4.194846048153501,24.89681148583338,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
50.0,0.013888888888888888,0.9998208383899786,99.98208383899787,4.1947699881522835,24.885798313938245,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
55.0,0.015277777777777777,0.9998029178229704,99.98029178229703,4.194698549998855,24.874872950979793,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
60.0,0.016666666666666666,0.9997849965695073,99.97849965695073,4.194631190903981,24.864034693195336,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
65.0,0.018055555555555554,0.999767074649047,99.9767074649047,4.194567431975129,24.85328284241077,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
70.0,0.019444444444444445,0.9997491520791021,99.97491520791021,4.194506850683681,24.842616706108743,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
75.0,0.020833333333333332,0.9997312288754656,99.97312288754657,4.194449074221487,24.83203559745854,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
80.0,0.022222222222222223,0.9997133050524108,99.97133050524108,4.194393773641585,24.82153883531791,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
85.0,0.02361111111111111,0.9996953806228671,99.96953806228672,4.194340658690402,24.811125744214497,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
90.0,0.025,0.9996774555985756,99.96774555985756,4.194289473249701,24.80079565431274,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
95.0,0.02638888888888889,0.9996595299902258,99.96595299902258,4.19423999131623,24.790547901370644,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
100.0,0.027777777777777776,0.999641603807577,99.9641603807577,4.194192013455526,24.780381826689705,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
105.0,0.029166666666666667,0.999623677059565,99.9623677059565,4.194145363673899,24.77029677706045,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
110.0,0.030555555555555555,0.999605749754396,99.9605749754396,4.1940998866591945,24.76029210470537,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
115.0,0.03194444444444444,0.99958782189963,99.958782189963,4.19405544534679,24.750367167220578,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
120.0,0.03333333333333333,0.9995698935022543,99.95698935022543,4.1940119187724445,24.74052132751715,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
125.0,0.034722222222222224,0.9995519645687482,99.95519645687482,4.193969200178143,24.730753953762786,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
130.0,0.03611111111111111,0.9995340351051399,99.953403510514,4.193927195341081,24.721064419324243,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
135.0,0.0375,0.9995161051170576,99.95161051170575,4.19388582109947,24.71145210271089,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
140.0,0.03888888888888889,0.9994981746097733,99.94981746097733,4.193845004051947,24.7019163875195,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
145.0,0.04027777777777778,0.999480243588243,99.9480243588243,4.193804679410106,24.692456662380437,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
150.0,0.041666666666666664,0.9994623120571406,99.94623120571407,4.193764789986124,24.683072320905254,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
155.0,0.043055555555555555,0.9994443800208894,99.94443800208894,4.193725285299521,24.67376276163571,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
160.0,0.044444444444444446,0.9994264474836886,99.94264474836886,4.1936861207890415,24.664527387994166,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
165.0,0.04583333333333333,0.9994085144495374,99.94085144495374,4.19364725711727,24.65536560823531,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
170.0,0.04722222222222222,0.9993905809222562,99.93905809222562,4.1936086595570305,24.64627683539918,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
175.0,0.04861111111111111,0.9993726469055053,99.93726469055053,4.193570297449964,24.63726048726538,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
180.0,0.05,0.9993547124028014,99.93547124028014,4.193532143728761,24.628315986308415,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
185.0,0.05138888888888889,0.9993367774175319,99.93367774175319,4.193494174495589,24.61944275965412,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
190.0,0.05277777777777778,0.9993188419529684,99.93188419529685,4.193456368650046,24.61064023903707,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
195.0,0.05416666666666667,0.9993009060122774,99.93009060122773,4.19341870756087,24.601907860758903,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
200.0,0.05555555555555555,0.9992829695985309,99.92829695985309,4.193381174776198,24.593245065647533,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
205.0,0.05694444444444444,0.999265032714715,99.9265032714715,4.193343755767893,24.584651299017157,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
210.0,0.058333333333333334,0.9992470953637379,99.9247095363738,4.193306437705887,24.576126010629,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
215.0,0.059722222222222225,0.9992291575484369,99.92291575484369,4.193269209259038,24.567668654652785,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
220.0,0.06111111111111111,0.9992112192715845,99.92112192715845,4.193232060419365,24.559278689628837,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
225.0,0.0625,0.9991932805358941,99.91932805358941,4.193194982346927,24.550955578430813,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
230.0,0.06388888888888888,0.9991753413440243,99.91753413440243,4.193157967232913,24.54269878822899,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
235.0,0.06527777777777778,0.9991574016985839,99.9157401698584,4.193121008178786,24.53450779045411,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
240.0,0.06666666666666667,0.9991394616021352,99.91394616021351,4.1930840990896385,24.526382060761723,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
245.0,0.06805555555555555,0.9991215210571974,99.91215210571974,4.193047234580035,24.518321078996998,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
250.0,0.06944444444444445,0.9991035800662499,99.91035800662499,4.193010409890911,24.510324329160017,0.21644357502852296,S0_standby,待机/轻后台,1.0,5.0,1,cutoff
