param,param_zh,baseline_value,low_value,high_value,tte_base_h,tte_low_h,tte_high_h,delta_low_h,delta_high_h,span_h,scenario,soc0,dt_s,n_seeds,seed0
batt_capacity_scale,容量,1.0,0.9,1.1,40.5946548459333,34.077701656915366,47.09668592117757,-6.516953189017933,6.502031075244268,13.018984264262201,S4_mixed_day,1.0,5.0,30,2026
background_base_scale,后台基线,1.0,0.7,1.3,40.5946548459333,47.27718840788084,35.555538245653324,6.682533561947544,-5.039116600279975,11.721650162227519,S4_mixed_day,1.0,5.0,30,2026
rrc_state_scale,无线状态,1.0,0.6,1.6,40.5946548459333,45.297003849066456,34.37864080804101,4.702349003133158,-6.216014037892286,10.918363041025444,S4_mixed_day,1.0,5.0,30,2026
cpu_scale,CPU,1.0,0.6,1.4,40.5946548459333,45.778111857290845,35.82573423850898,5.183457011357547,-4.76892060742432,9.952377618781867,S4_mixed_day,1.0,5.0,30,2026
base_scale,基础,1.0,0.7,1.3,40.5946548459333,44.28764919990091,37.465753998529784,3.692994353967613,-3.1289008474035143,6.821895201371127,S4_mixed_day,1.0,5.0,30,2026
screen_scale,屏幕,1.0,0.7,1.3,40.5946548459333,42.442929043448764,38.7431167495401,1.8482741975154653,-1.8515380963931989,3.699812293908664,S4_mixed_day,1.0,5.0,30,2026
interaction_scale,交互项,1.0,0.0,1.6,40.5946548459333,42.64799152372232,39.359228806949005,2.0533366777890194,-1.2354260389842935,3.288762716773313,S4_mixed_day,1.0,5.0,30,2026
soc_min,SOC_min,0.02,0.0,0.1,40.5946548459333,40.5946548459333,37.56717592592592,0.0,-3.0274789200073755,3.0274789200073755,S4_mixed_day,1.0,5.0,30,2026
v_cut_V,V_cut,3.3,3.2,3.4,40.5946548459333,41.56023561600309,39.589865190547606,0.965580770069792,-1.004789655385693,1.970370425455485,S4_mixed_day,1.0,5.0,30,2026
gpu_scale,GPU,1.0,0.6,1.4,40.5946548459333,40.78765650237308,40.390427166701436,0.19300165643978318,-0.20422767923186314,0.3972293356716463,S4_mixed_day,1.0,5.0,30,2026
