scenario_id,output,n,k,top5_params,top5_prcc
S4_mixed_day,tte_mean_h,240,4,"soh,base_scale,batt_capacity_scale,cpu_scale,rrc_data_scale","+0.946,-0.893,+0.831,-0.698,-0.657"
S4_mixed_day,min_headroom_margin,240,4,"batt_r0_scale,rrc_data_scale,alpha_r,soh,cpu_scale","-0.895,-0.862,-0.747,+0.683,-0.495"
S4_mixed_day,tte_mean_h,240,8,"soh,base_scale,batt_capacity_scale,cpu_scale,rrc_data_scale","+0.946,-0.893,+0.831,-0.699,-0.657"
S4_mixed_day,min_headroom_margin,240,8,"batt_r0_scale,rrc_data_scale,alpha_r,soh,cpu_scale","-0.894,-0.863,-0.746,+0.684,-0.495"
S4_mixed_day,tte_mean_h,600,4,"soh,base_scale,batt_capacity_scale,cpu_scale,rrc_data_scale","+0.951,-0.899,+0.863,-0.727,-0.693"
S4_mixed_day,min_headroom_margin,600,4,"batt_r0_scale,rrc_data_scale,alpha_r,soh,cpu_scale","-0.897,-0.866,-0.769,+0.711,-0.505"
S4_mixed_day,tte_mean_h,600,8,"soh,base_scale,batt_capacity_scale,cpu_scale,rrc_data_scale","+0.951,-0.899,+0.863,-0.728,-0.693"
S4_mixed_day,min_headroom_margin,600,8,"batt_r0_scale,rrc_data_scale,alpha_r,soh,cpu_scale","-0.896,-0.866,-0.770,+0.710,-0.505"
S3_gaming,tte_mean_h,240,4,"cpu_scale,soh,batt_capacity_scale,gpu_scale,base_scale","-0.971,+0.929,+0.823,-0.632,-0.404"
S3_gaming,min_headroom_margin,240,4,"batt_r0_scale,cpu_scale,alpha_r,soh,interaction_scale","-0.884,-0.820,-0.726,+0.513,-0.427"
S3_gaming,tte_mean_h,240,8,"cpu_scale,soh,batt_capacity_scale,gpu_scale,base_scale","-0.971,+0.929,+0.823,-0.633,-0.404"
S3_gaming,min_headroom_margin,240,8,"batt_r0_scale,cpu_scale,alpha_r,soh,interaction_scale","-0.887,-0.819,-0.738,+0.523,-0.413"
S3_gaming,tte_mean_h,600,4,"cpu_scale,soh,batt_capacity_scale,gpu_scale,base_scale","-0.974,+0.936,+0.837,-0.666,-0.439"
S3_gaming,min_headroom_margin,600,4,"batt_r0_scale,cpu_scale,alpha_r,soh,interaction_scale","-0.907,-0.849,-0.775,+0.582,-0.460"
S3_gaming,tte_mean_h,600,8,"cpu_scale,soh,batt_capacity_scale,gpu_scale,base_scale","-0.974,+0.936,+0.837,-0.667,-0.440"
S3_gaming,min_headroom_margin,600,8,"batt_r0_scale,cpu_scale,alpha_r,soh,interaction_scale","-0.909,-0.851,-0.781,+0.592,-0.461"
