scenario_id,scenario_title_zh,param,param_zh,sens_dimless,y0_tte_mean_h,y_minus_tte_mean_h,y_plus_tte_mean_h,theta0,theta_minus,theta_plus,type,eps
S3_gaming,游戏（高 CPU/GPU 负载）,eta_pmic,η_PMIC,1.0354345503516935,3.8473068921002365,3.6469812038697453,4.045344652058423,1.0,0.95,1.05,multiplicative,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,batt_capacity_scale,容量,0.9999245269950905,3.8473068921002365,3.6546440019367976,4.039345654365626,1.0,0.95,1.05,multiplicative,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,cpu_scale,CPU,-0.6363955514716085,3.8473068921002365,3.9726198767124403,3.7277789775845753,1.0,0.95,1.05,multiplicative,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,v_cut_V,V_cut,-0.49888047959879156,3.8473068921002365,3.8756545489345355,3.8174925396165142,3.3,3.25,3.3499999999999996,additive,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,gpu_scale,GPU,-0.12817851949311998,3.8473068921002365,3.8719800731282605,3.822665862981752,1.0,0.95,1.05,multiplicative,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,base_scale,基础,-0.1002409097256651,3.8473068921002365,3.866682364049815,3.8281166097640202,1.0,0.95,1.05,multiplicative,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,screen_scale,屏幕,-0.09164766045388781,3.8473068921002365,3.8650141726223906,3.82975450505148,1.0,0.95,1.05,multiplicative,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,background_base_scale,后台基线,-0.034366315145884056,3.8473068921002365,3.8539286620457007,3.840706885934016,1.0,0.95,1.05,multiplicative,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,batt_r0_scale,R0,-0.03164486586171919,3.8473068921002365,3.853392887224704,3.841218136171766,1.0,0.95,1.05,multiplicative,0.05
S3_gaming,游戏（高 CPU/GPU 负载）,interaction_scale,交互项,-0.03138433455414218,3.8473068921002365,3.8533523682960116,3.8412778516325985,1.0,0.95,1.05,multiplicative,0.05
