scenario_id,scenario_title_zh,variant,model,tte_h,min_headroom_margin,p_cutoff,temp_peak_C,temp_end_C
S0_standby,待机/轻后台,baseline,model1,25.473797895941487,0.9723842585926505,1.0,25.0,25.0
S0_standby,待机/轻后台,baseline,model2,25.438711108718238,0.9720944342812325,1.0,25.0,24.349193875522797
S0_standby,待机/轻后台,baseline,model3,25.438711108718238,0.9720944342812325,1.0,25.0,24.349193875522797
S0_standby,待机/轻后台,cold_outdoor,model1,25.473797895941487,0.9723842585926505,1.0,25.0,25.0
S0_standby,待机/轻后台,cold_outdoor,model2,23.956186599915156,0.9606365421260079,1.0,25.0,-3.6548729161550155
S0_standby,待机/轻后台,cold_outdoor,model3,23.956186599915156,0.9606365421260079,1.0,25.0,-3.6548729161550155
S0_standby,待机/轻后台,hot_summer,model1,25.473797895941487,0.9723842585926505,1.0,25.0,25.0
S0_standby,待机/轻后台,hot_summer,model2,25.51495926437888,0.9791861706765662,1.0,41.45003933951681,41.348143238650536
S0_standby,待机/轻后台,hot_summer,model3,25.51495926437888,0.9791861706765662,1.0,41.45003933951681,41.348143238650536
S1_video,视频播放/视频流,baseline,model1,5.023901811267082,0.9212330149699671,1.0,25.0,25.0
S1_video,视频播放/视频流,baseline,model2,5.035718979037112,0.9266087821743406,1.0,29.78092162905774,29.78078106447764
S1_video,视频播放/视频流,baseline,model3,5.035718979037112,0.9266087821743406,1.0,29.78092162905774,29.78078106447764
S1_video,视频播放/视频流,cold_outdoor,model1,5.023901811267082,0.9212330149699671,1.0,25.0,25.0
S1_video,视频播放/视频流,cold_outdoor,model2,4.74422946574718,0.895523980579356,1.0,25.0,1.8501560640684065
S1_video,视频播放/视频流,cold_outdoor,model3,4.74422946574718,0.895523980579356,1.0,25.0,1.8501560640684065
S1_video,视频播放/视频流,hot_summer,model1,5.023901811267082,0.9212330149699671,1.0,25.0,25.0
S1_video,视频播放/视频流,hot_summer,model2,5.077842473146772,0.9462235550141637,1.0,46.73886764506394,46.73879149356026
S1_video,视频播放/视频流,hot_summer,model3,5.077842473146772,0.9462235550141637,1.0,46.73886764506394,46.73879149356026
S2_navigation,导航（GPS + 地图数据）,baseline,model1,5.898822028721833,0.9200003431799655,1.0,25.0,25.0
S2_navigation,导航（GPS + 地图数据）,baseline,model2,5.908753302682269,0.9242258115057342,1.0,29.01044774760635,28.773319565690194
S2_navigation,导航（GPS + 地图数据）,baseline,model3,5.908753302682269,0.9242258115057342,1.0,29.01044774760635,28.773319565690194
S2_navigation,导航（GPS + 地图数据）,cold_outdoor,model1,5.898822028721833,0.9200003431799655,1.0,25.0,25.0
S2_navigation,导航（GPS + 地图数据）,cold_outdoor,model2,5.56148785742474,0.8918438376189464,1.0,25.0,0.8196512077130371
S2_navigation,导航（GPS + 地图数据）,cold_outdoor,model3,5.56148785742474,0.8918438376189464,1.0,25.0,0.8196512077130371
S2_navigation,导航（GPS + 地图数据）,hot_summer,model1,5.898822028721833,0.9200003431799655,1.0,25.0,25.0
S2_navigation,导航（GPS + 地图数据）,hot_summer,model2,5.952205738689261,0.9441018368888278,1.0,45.979443092100155,45.74236443629321
S2_navigation,导航（GPS + 地图数据）,hot_summer,model3,5.952205738689261,0.9441018368888278,1.0,45.979443092100155,45.74236443629321
S3_gaming,游戏（高 CPU/GPU 负载）,baseline,model1,3.827204454628472,0.8939433540899353,1.0,25.0,25.0
S3_gaming,游戏（高 CPU/GPU 负载）,baseline,model2,3.844282406781633,0.9040705477335133,1.0,31.907272878319425,31.857710474966563
S3_gaming,游戏（高 CPU/GPU 负载）,baseline,model3,3.844282406781633,0.9040705477335133,1.0,31.907272878319425,31.857710474966563
S3_gaming,游戏（高 CPU/GPU 负载）,cold_outdoor,model1,3.827204454628472,0.8939433540899353,1.0,25.0,25.0
