t_s,current_A,voltage_V,temp_C,step_idx,step_type,step_comment
0.0,1.002,3.743,25.17709,9730,D,pulsed load (discharge)
1.0,1.001,3.719,25.17709,9730,D,pulsed load (discharge)
2.0,0.999,3.716,25.17709,9730,D,pulsed load (discharge)
3.0,1.0,3.714,25.19265,9730,D,pulsed load (discharge)
4.0,0.999,3.712,25.19265,9730,D,pulsed load (discharge)
5.0,0.999,3.71,25.20822,9730,D,pulsed load (discharge)
6.0,1.0,3.708,25.20822,9730,D,pulsed load (discharge)
7.0,1.0,3.706,25.20822,9730,D,pulsed load (discharge)
7.999999999999999,1.0,3.704,25.20822,9730,D,pulsed load (discharge)
9.0,1.0,3.703,25.19265,9730,D,pulsed load (discharge)
10.0,1.0,3.701,25.19265,9730,D,pulsed load (discharge)
11.0,1.0,3.7,25.19265,9730,D,pulsed load (discharge)
12.0,0.999,3.698,25.19265,9730,D,pulsed load (discharge)
13.0,1.0,3.697,25.19265,9730,D,pulsed load (discharge)
14.0,1.0,3.696,25.20822,9730,D,pulsed load (discharge)
15.0,1.0,3.694,25.20822,9730,D,pulsed load (discharge)
16.0,1.0,3.693,25.22378,9730,D,pulsed load (discharge)
17.0,1.0,3.692,25.22378,9730,D,pulsed load (discharge)
18.0,0.999,3.691,25.22378,9730,D,pulsed load (discharge)
19.0,1.0,3.69,25.22378,9730,D,pulsed load (discharge)
20.0,1.001,3.688,25.23935,9730,D,pulsed load (discharge)
21.0,1.0,3.687,25.23935,9730,D,pulsed load (discharge)
22.0,0.999,3.686,25.22378,9730,D,pulsed load (discharge)
23.0,1.0,3.685,25.22378,9730,D,pulsed load (discharge)
24.0,1.0,3.684,25.22378,9730,D,pulsed load (discharge)
25.0,1.0,3.683,25.22378,9730,D,pulsed load (discharge)
26.0,1.0,3.682,25.22378,9730,D,pulsed load (discharge)
27.0,1.0,3.681,25.23935,9730,D,pulsed load (discharge)
28.0,1.0,3.68,25.23935,9730,D,pulsed load (discharge)
29.0,0.999,3.679,25.23935,9730,D,pulsed load (discharge)
30.0,1.0,3.678,25.25492,9730,D,pulsed load (discharge)
31.0,1.0,3.677,25.25492,9730,D,pulsed load (discharge)
32.0,1.0,3.677,25.25492,9730,D,pulsed load (discharge)
33.0,1.0,3.676,25.23935,9730,D,pulsed load (discharge)
34.0,1.0,3.675,25.23935,9730,D,pulsed load (discharge)
35.0,1.0,3.674,25.23935,9730,D,pulsed load (discharge)
36.0,1.0,3.673,25.23935,9730,D,pulsed load (discharge)
37.0,1.0,3.672,25.23935,9730,D,pulsed load (discharge)
38.0,1.0,3.672,25.23935,9730,D,pulsed load (discharge)
39.0,1.0,3.671,25.23935,9730,D,pulsed load (discharge)
40.0,1.0,3.67,25.23935,9730,D,pulsed load (discharge)
41.0,1.0,3.669,25.23935,9730,D,pulsed load (discharge)
42.0,1.0,3.668,25.25492,9730,D,pulsed load (discharge)
43.0,1.0,3.668,25.25492,9730,D,pulsed load (discharge)
44.0,0.999,3.667,25.27048,9730,D,pulsed load (discharge)
45.0,1.0,3.666,25.27048,9730,D,pulsed load (discharge)
46.0,1.0,3.665,25.27048,9730,D,pulsed load (discharge)
47.0,1.0,3.665,25.27048,9730,D,pulsed load (discharge)
48.0,1.0,3.664,25.27048,9730,D,pulsed load (discharge)
49.0,1.0,3.663,25.27048,9730,D,pulsed load (discharge)
50.0,1.0,3.663,25.25492,9730,D,pulsed load (discharge)
51.0,1.0,3.662,25.25492,9730,D,pulsed load (discharge)
52.0,1.0,3.661,25.27048,9730,D,pulsed load (discharge)
53.0,0.999,3.661,25.27048,9730,D,pulsed load (discharge)
54.0,1.0,3.66,25.27048,9730,D,pulsed load (discharge)
55.0,1.0,3.659,25.27048,9730,D,pulsed load (discharge)
56.0,0.999,3.659,25.28605,9730,D,pulsed load (discharge)
57.0,0.999,3.658,25.28605,9730,D,pulsed load (discharge)
58.0,1.0,3.658,25.30162,9730,D,pulsed load (discharge)
59.0,0.999,3.657,25.30162,9730,D,pulsed load (discharge)
60.0,0.999,3.657,25.30162,9730,D,pulsed load (discharge)
61.0,1.001,3.656,25.30162,9730,D,pulsed load (discharge)
62.0,1.0,3.655,25.30162,9730,D,pulsed load (discharge)
63.0,1.0,3.655,25.30162,9730,D,pulsed load (discharge)
64.0,1.0,3.654,25.30162,9730,D,pulsed load (discharge)
65.0,1.001,3.653,25.30162,9730,D,pulsed load (discharge)
66.0,0.999,3.653,25.31718,9730,D,pulsed load (discharge)
67.0,1.0,3.652,25.31718,9730,D,pulsed load (discharge)
67.99999999999999,0.999,3.652,25.31718,9730,D,pulsed load (discharge)
68.99999999999999,1.0,3.651,25.33275,9730,D,pulsed load (discharge)
69.99999999999999,1.001,3.651,25.33275,9730,D,pulsed load (discharge)
70.99999999999999,1.0,3.65,25.33275,9730,D,pulsed load (discharge)
71.99999999999999,1.0,3.65,25.33275,9730,D,pulsed load (discharge)
72.99999999999999,1.001,3.649,25.31718,9730,D,pulsed load (discharge)
73.99999999999999,1.0,3.649,25.31718,9730,D,pulsed load (discharge)
74.99999999999999,1.0,3.648,25.31718,9730,D,pulsed load (discharge)
75.99999999999999,1.0,3.648,25.31718,9730,D,pulsed load (discharge)
76.99999999999999,1.0,3.647,25.31718,9730,D,pulsed load (discharge)
77.99999999999999,0.999,3.647,25.33275,9730,D,pulsed load (discharge)
78.99999999999999,1.0,3.646,25.33275,9730,D,pulsed load (discharge)
79.99999999999999,1.0,3.646,25.33275,9730,D,pulsed load (discharge)
80.99999999999999,1.0,3.645,25.34832,9730,D,pulsed load (discharge)
81.99999999999999,1.0,3.645,25.34832,9730,D,pulsed load (discharge)
82.99999999999999,1.0,3.645,25.34832,9730,D,pulsed load (discharge)
83.99999999999999,1.0,3.644,25.34832,9730,D,pulsed load (discharge)
84.99999999999999,1.0,3.644,25.34832,9730,D,pulsed load (discharge)
85.99999999999999,1.0,3.643,25.34832,9730,D,pulsed load (discharge)
86.99999999999999,1.0,3.643,25.34832,9730,D,pulsed load (discharge)
87.99999999999999,1.0,3.642,25.34832,9730,D,pulsed load (discharge)
88.99999999999999,1.0,3.642,25.34832,9730,D,pulsed load (discharge)
89.99999999999999,1.0,3.641,25.34832,9730,D,pulsed load (discharge)
90.99999999999999,0.999,3.641,25.36389,9730,D,pulsed load (discharge)
91.99999999999999,1.0,3.641,25.36389,9730,D,pulsed load (discharge)
92.99999999999999,1.0,3.64,25.36389,9730,D,pulsed load (discharge)
93.99999999999999,0.999,3.64,25.36389,9730,D,pulsed load (discharge)
94.99999999999999,1.0,3.639,25.37945,9730,D,pulsed load (discharge)
95.99999999999999,1.001,3.639,25.37945,9730,D,pulsed load (discharge)
96.99999999999999,0.999,3.639,25.36389,9730,D,pulsed load (discharge)
97.99999999999999,1.0,3.638,25.36389,9730,D,pulsed load (discharge)
98.99999999999999,1.0,3.638,25.36389,9730,D,pulsed load (discharge)
99.99999999999999,0.999,3.637,25.36389,9730,D,pulsed load (discharge)
100.99999999999999,1.0,3.637,25.37945,9730,D,pulsed load (discharge)
101.99999999999999,1.0,3.637,25.37945,9730,D,pulsed load (discharge)
102.99999999999999,1.0,3.636,25.39502,9730,D,pulsed load (discharge)
103.99999999999999,0.999,3.636,25.39502,9730,D,pulsed load (discharge)
104.99999999999999,1.0,3.636,25.39502,9730,D,pulsed load (discharge)
105.99999999999999,1.0,3.635,25.39502,9730,D,pulsed load (discharge)
106.99999999999999,1.0,3.635,25.39502,9730,D,pulsed load (discharge)
107.99999999999999,1.0,3.635,25.39502,9730,D,pulsed load (discharge)
108.99999999999999,1.0,3.634,25.39502,9730,D,pulsed load (discharge)
109.99999999999999,1.0,3.634,25.39502,9730,D,pulsed load (discharge)
110.99999999999999,1.0,3.633,25.41059,9730,D,pulsed load (discharge)
111.99999999999999,1.0,3.633,25.41059,9730,D,pulsed load (discharge)
112.99999999999999,1.0,3.633,25.41059,9730,D,pulsed load (discharge)
113.99999999999999,1.0,3.632,25.42615,9730,D,pulsed load (discharge)
114.99999999999999,0.999,3.632,25.42615,9730,D,pulsed load (discharge)
115.99999999999999,1.0,3.632,25.44172,9730,D,pulsed load (discharge)
116.99999999999999,1.001,3.631,25.42615,9730,D,pulsed load (discharge)
117.99999999999999,0.999,3.631,25.44172,9730,D,pulsed load (discharge)
118.99999999999999,1.0,3.631,25.42615,9730,D,pulsed load (discharge)
120.0,1.0,3.63,25.42615,9730,D,pulsed load (discharge)
121.0,0.999,3.63,25.42615,9730,D,pulsed load (discharge)
122.0,0.999,3.63,25.42615,9730,D,pulsed load (discharge)
123.0,1.0,3.629,25.42615,9730,D,pulsed load (discharge)
124.0,1.0,3.629,25.42615,9730,D,pulsed load (discharge)
125.0,1.0,3.629,25.44172,9730,D,pulsed load (discharge)
126.0,1.0,3.628,25.44172,9730,D,pulsed load (discharge)
127.0,1.0,3.628,25.45728,9730,D,pulsed load (discharge)
127.99999999999999,1.0,3.628,25.45728,9730,D,pulsed load (discharge)
129.0,0.999,3.628,25.45728,9730,D,pulsed load (discharge)
130.0,1.0,3.627,25.45728,9730,D,pulsed load (discharge)
131.0,1.0,3.627,25.45728,9730,D,pulsed load (discharge)
132.0,1.0,3.626,25.45728,9730,D,pulsed load (discharge)
133.0,1.0,3.626,25.45728,9730,D,pulsed load (discharge)
134.0,1.0,3.626,25.45728,9730,D,pulsed load (discharge)
135.0,1.0,3.626,25.47285,9730,D,pulsed load (discharge)
136.0,1.0,3.625,25.47285,9730,D,pulsed load (discharge)
137.0,1.0,3.625,25.47285,9730,D,pulsed load (discharge)
138.0,0.999,3.625,25.48842,9730,D,pulsed load (discharge)
139.0,1.0,3.625,25.47285,9730,D,pulsed load (discharge)
140.0,1.0,3.624,25.48842,9730,D,pulsed load (discharge)
141.0,1.0,3.624,25.48842,9730,D,pulsed load (discharge)
142.0,1.0,3.624,25.48842,9730,D,pulsed load (discharge)
143.0,1.0,3.623,25.48842,9730,D,pulsed load (discharge)
144.0,1.0,3.623,25.47285,9730,D,pulsed load (discharge)
145.0,1.0,3.623,25.48842,9730,D,pulsed load (discharge)
146.0,1.0,3.623,25.50398,9730,D,pulsed load (discharge)
147.0,1.0,3.622,25.50398,9730,D,pulsed load (discharge)
148.0,1.0,3.622,25.51955,9730,D,pulsed load (discharge)
149.0,1.0,3.622,25.50398,9730,D,pulsed load (discharge)
150.0,1.0,3.621,25.51955,9730,D,pulsed load (discharge)
151.0,1.0,3.621,25.51955,9730,D,pulsed load (discharge)
152.0,1.0,3.621,25.50398,9730,D,pulsed load (discharge)
153.0,0.999,3.621,25.51955,9730,D,pulsed load (discharge)
154.0,1.0,3.62,25.50398,9730,D,pulsed load (discharge)
155.0,1.0,3.62,25.51955,9730,D,pulsed load (discharge)
156.0,0.999,3.62,25.51955,9730,D,pulsed load (discharge)
157.0,1.0,3.62,25.51955,9730,D,pulsed load (discharge)
