scenario_id,scenario_title_zh,alpha,alpha_ref,dt_s,soc0,replicates,battery_model,tte_mean_h,tte_p05_h,tte_p50_h,tte_p95_h,tte_std_h,min_headroom_margin_mean,min_headroom_margin_p05,min_headroom_margin_p50,min_headroom_margin_p95,p_cutoff,p_soc_min,p_insufficient_power,delta_mean_tte_pct_vs_ref,delta_tte_pct_median,delta_tte_pct_p25,delta_tte_pct_p75,delta_tte_pct_n
S4_mixed_day,混合使用（标准一天）,0.5,0.5,10.0,1.0,80,model3,17.840236546450576,17.77349378053253,17.840741345600854,17.915271385359905,0.04093249780380436,0.9436128839329905,0.9434682284997205,0.9435873490960809,0.9438973959551407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80
S4_mixed_day,混合使用（标准一天）,1.0,0.5,10.0,1.0,80,model3,18.06065452209519,18.006119904004372,18.057401270448477,18.13218564021606,0.040432089121281115,0.9433289965486695,0.9428818766825268,0.9433378867364695,0.9440159692962417,1.0,0.0,0.0,1.235510387268204,1.1972156552958149,1.0369826810462193,1.4104703796678597,80
S4_mixed_day,混合使用（标准一天）,2.0,0.5,10.0,1.0,80,model3,18.20334250888706,18.119505036843638,18.205609680889413,18.26936002205365,0.04576685914091077,0.9392822652494253,0.9368235631127392,0.9380134264763192,0.9432104014965126,1.0,0.0,0.0,2.0353203360900913,2.027996075195125,1.80526064180642,2.265290271769601,80
S4_mixed_day,混合使用（标准一天）,4.0,0.5,10.0,1.0,80,model3,18.244152830884794,18.16070886863221,18.238566815554343,18.34917399048416,0.058809584217418866,0.9257034628093888,0.9088944093851453,0.9277261207299634,0.9410953026854953,1.0,0.0,0.0,2.264074713261461,2.2482730277838368,2.0246614746904497,2.558178263891887,80
S3_gaming,游戏（高 CPU/GPU 负载）,0.5,0.5,10.0,1.0,80,model3,3.8305957328733102,3.8228223061674624,3.8309172254583292,3.836333144354806,0.004318989330943559,0.902904364343935,0.8984196766486711,0.9023858341196098,0.9092063679141607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80
S3_gaming,游戏（高 CPU/GPU 负载）,1.0,0.5,10.0,1.0,80,model3,3.845999919366193,3.841480789527343,3.845991535927878,3.851026883344361,0.0030986253346667616,0.9045820131884497,0.8984152949395159,0.9051966854383298,0.909296384577203,1.0,0.0,0.0,0.40213553105297445,0.3961051561982589,0.33815755567520844,0.46601566664532984,80
S3_gaming,游戏（高 CPU/GPU 负载）,2.0,0.5,10.0,1.0,80,model3,3.853245438264802,3.848006319716225,3.853950115090762,3.8575155059826276,0.002970402340375284,0.9048069801385911,0.8965256707780334,0.9074743685704849,0.909244275378947,1.0,0.0,0.0,0.5912841492804143,0.5990087837089941,0.5292081238488838,0.6666607483494845,80
S3_gaming,游戏（高 CPU/GPU 负载）,4.0,0.5,10.0,1.0,80,model3,3.857550748221665,3.8538061661103797,3.8575849889161042,3.860607127158199,0.002278410354613326,0.9049711710963955,0.8948804702031052,0.9060613203799144,0.9093465593392106,1.0,0.0,0.0,0.7036768489306449,0.6860383108754416,0.6388415732533319,0.7721295296728788,80
S5_burst_recovery,高负载→休止：恢复效应演示,0.5,0.5,10.0,1.0,80,model3,10.03223651261323,10.023286253592426,10.032329879889938,10.04113928907881,0.005221971516553253,0.8907427053179837,0.8836961054445899,0.8954747860334755,0.8961429730745437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80
S5_burst_recovery,高负载→休止：恢复效应演示,1.0,0.5,10.0,1.0,80,model3,10.049209072023311,10.043725697267455,10.049312605311727,10.055766908240592,0.0038788772181746357,0.8928865535602917,0.8840479038134323,0.8963137782722581,0.8970070218051929,1.0,0.0,0.0,0.16918021608384842,0.17207834422864648,0.12879967930782465,0.19965249573623184,80
S5_burst_recovery,高负载→休止：恢复效应演示,2.0,0.5,10.0,1.0,80,model3,10.056541551516233,10.051464042149773,10.056176122504153,10.060912665977725,0.002850500424933877,0.8940241631995288,0.8842942058835397,0.8960590375776636,0.8972934455860917,1.0,0.0,0.0,0.24226939698287128,0.23666371396538868,0.2049916429045993,0.27797798087397874,80
S5_burst_recovery,高负载→休止：恢复效应演示,4.0,0.5,10.0,1.0,80,model3,10.056884232861652,10.0525520274645,10.057072740678262,10.060892957872811,0.002606230912411592,0.8941805701682419,0.8819318590914806,0.8958936009586,0.897256477953618,1.0,0.0,0.0,0.24568519908231537,0.24977497600175286,0.2128636634948145,0.2798158985424897,80
