phone_test_id,duration_s_est,P_total_W,avg_temp_C,delta_temp_C
-1,29.745867781024316,6.186047566492058,33.375,5.898
1,29.852907032019957,4.226042872966518,39.22916666666666,1.113
10,30.933543941235566,2.645931004720527,45.21472727272727,0.454
100,29.97951177805678,2.1488482359860392,43.81225,1.534
102,29.947601105176865,1.7980081880645842,44.162333333333336,0.412
103,33.917142020501196,2.964708699194641,45.142428571428574,2.04
104,30.51226387492342,2.259497829548481,46.2175,0.239
106,30.889354012552356,2.425428546338494,45.14683333333333,1.034
107,30.040303270276898,1.9988281895746165,45.262666666666654,0.095
108,34.38134371701694,1.6759725412209552,44.99316666666666,0.072
109,31.606295055027587,1.7759791175230173,44.7275,0.206
110,29.615550125807825,2.2970910116816325,45.028,1.258
111,29.787412331141358,3.373633966013908,45.783833333333334,1.527
113,34.569896955570734,2.1517365555240175,45.5166,0.764
114,30.033916719063477,3.070943389193629,45.996300000000005,1.146
115,32.459781850205935,2.279209833923472,46.444,0.215
116,31.996230617763885,2.1496592777342247,46.0385,0.454
117,30.212397018662987,2.7310975011029264,46.63142857142857,1.504
120,29.960580656249647,1.7227510572040068,45.022,0.298
121,32.067439760530185,2.161987159490457,45.047428571428576,0.516
122,29.958781260423425,1.7806864550419301,44.962833333333336,0.345
123,30.058415680624176,2.281797674526529,44.94857142857143,0.699
124,33.96666162671088,2.052270304514767,45.199375,0.214
127,30.39982734492579,4.40580170013222,44.470375,5.088
128,30.016664414539257,2.279186856180539,45.9482,0.358
129,30.55378660219417,2.2085671697122486,44.527699999999996,0.183
13,29.64643249142625,2.770463091090412,43.953,2.315
131,35.350563079539526,2.679225215929254,45.195,1.412
132,34.152147649081186,2.574546406377039,46.218714285714285,1.241
133,32.52683860008791,2.5764749236888176,46.3376,1.193
135,34.688034258941,1.99681842686564,44.795300000000005,0.925
137,29.631722392122892,1.9436299462399858,44.5574,0.344
138,29.95824687170356,2.677972057029047,44.885,1.0
140,34.02068153400589,1.608756454372991,44.1244,0.55
141,34.15966223507209,1.5773632838991765,44.335,0.229
142,32.9785636706222,2.7154839396409174,44.854699999999994,1.517
144,33.90289432177953,1.573893912819158,44.612300000000005,0.298
145,34.2408728264545,2.1304262706656427,44.665099999999995,0.688
147,31.268691868157937,2.8004183663714786,45.2338,1.997
149,32.40817325987345,2.293955490914649,44.7232,1.199
15,29.47424550378123,2.489954085188878,44.384875,1.031
150,32.99277223125659,4.671576547725882,27.9052,6.083
151,29.92195115659335,5.393496639153453,34.63275,4.452
152,29.720354590402266,5.3122965447722486,40.26528571428572,3.72
154,29.482856626369642,6.48577505305142,41.95275,6.316
